Domande,Risposte
"In quanti (e quali) comuni è stato rispettato il valore limite annuo per il particolato PM2,5?","Il valore limite annuo per il particolato PM2,5, pari a 25 µg/m³, è stato rispettato in tutte le stazioni piemontesi, sebbene con un lieve incremento nelle concentrazioni medie annue rispetto al 2021 nella maggior parte dei punti di monitoraggio."
Qual è il valore limite medio annuo per il particolato PM10 previsto dalla normativa?,(40 µg/m³)
Qual è la qualità dell’aria oggi?,
Quali sono tutte le sostanze inquinanti presenti nell’aria?,"Monossido di carbonio, Biossido di Zolfo, Ozono, Ossidi di Azoto, Benzene, Particolato sospeso (PM) Idrocaarburi policiclici aromatici, metalli (piombo)"
Da dove derivano le emissioni di polveri sottili (PM10)?,"Combustione di combustibili fossili (gasolio, carbone); usura dell’asfalto; lavorazioni industriali; materiale inorganico prodotto da agenti naturali come la pioggia e il vento."
Quali sono i danni causati dal monossido di carbonio (CO)?,"Il CO ha la proprietà di fissarsi all’emoglobina del sangue, impedendo il normale trasporto dell’Ossigeno nelle varie parti del corpo. Gli organi più colpiti sono il sistema nervoso centrale ed il sistema cardio-vascolare, soprattutto nelle persone affette da cardiopatie. Concentrazioni elevatissime di CO possono anche condurre alla morte per asfissia. Alle concentrazioni abitualmente rilevabili nell’atmosfera urbana tuttavia gli effetti sulla salute sono reversibili e sicuramente meno acuti. Gli effetti nocivi del CO sono amplificati nei fumatori."
Quali sono i rischi per la salute associati all’inquinamento dell’aria a Torino?,"Effetti a breve termine:  principalmente problemi cardiovascolari e respiratori.
Effetti a lungo termine: in parte attribuibili agli effetti cancerogeni delle sostanze che lo compongono."
Quali sono le strategie più efficaci a misura di cittadino per combattere l'inquinamento dell'aria?,"utilizzare il più possibile modalità di spostamento alternative all'auto, come bici, mezzi pubblici o andare a piedi, o altrimenti adottare strategie come condividere il viaggio in automobile, utilizzare i mezzi a noleggio breve, usare mezzi con motori a minor impatto"
Come posso proteggermi dall’inquinamento dell’aria quando mi trovo a Torino?,"- Scegliendo percorsi lontani da strade trafficate
- Evitando di uscire nelle ore più calde
- Attivando la funzione di ricircolo interno dell'aria quando si è in auto"
Quali misure ha adottato il comune di Torino per ridurre l’inquinamento dell’aria?,"In accordo con il Protocollo Padano, il comune di Torino ha introdotto misure che riguardano principalmente una limitazione del traffico, norme sul riscaldamento, agricoltura ed energia"
